Age;Gender;Education Level;Job Title;Years of Experience; Salary 
32;Male;Bachelor's;Software Engineer;5; $90.000,00 
28;Female;Master's;Data Analyst;3; $65.000,00 
45;Male;PhD;Senior Manager;15; $150.000,00 
36;Female;Bachelor's;Sales Associate;7; $60.000,00 
52;Male;Master's;Director;20; $200.000,00 
29;Male;Bachelor's;Marketing Analyst;2; $55.000,00 
42;Female;Master's;Product Manager;12; $120.000,00 
31;Male;Bachelor's;Sales Manager;4; $80.000,00 
26;Female;Bachelor's;Marketing Coordinator;1; $45.000,00 
38;Male;PhD;Senior Scientist;10; $110.000,00 
29;Male;Master's;Software Developer;3; $75.000,00 
48;Female;Bachelor's;HR Manager;18; $140.000,00 
35;Male;Bachelor's;Financial Analyst;6; $65.000,00 
40;Female;Master's;Project Manager;14; $130.000,00 
27;Male;Bachelor's;Customer Service Rep;2; $40.000,00 
44;Male;Bachelor's;Operations Manager;16; $125.000,00 
33;Female;Master's;Marketing Manager;7; $90.000,00 
39;Male;PhD;Senior Engineer;12; $115.000,00 
25;Female;Bachelor's;Data Entry Clerk;0; $35.000,00 
51;Male;Bachelor's;Sales Director;22; $180.000,00 
34;Female;Master's;Business Analyst;5; $80.000,00 
47;Male;Master's;VP of Operations;19; $190.000,00 
30;Male;Bachelor's;IT Support;2; $50.000,00 
36;Female;Bachelor's;Recruiter;9; $60.000,00 
41;Male;Master's;Financial Manager;13; $140.000,00 
28;Female;Bachelor's;Social Media Specialist;3; $45.000,00 
37;Female;Master's;Software Manager;11; $110.000,00 
24;Male;Bachelor's;Junior Developer;1; $40.000,00 
43;Female;PhD;Senior Consultant;15; $140.000,00 
33;Male;Master's;Product Designer;6; $90.000,00 
50;Male;Bachelor's;CEO;25; $250.000,00 
31;Female;Bachelor's;Accountant;4; $55.000,00 
29;Male;Master's;Data Scientist;3; $75.000,00 
39;Female;Bachelor's;Marketing Specialist;10; $65.000,00 
46;Male;PhD;Senior Manager;20; $170.000,00 
27;Male;Bachelor's;Technical Writer;2; $45.000,00 
35;Female;Bachelor's;HR Generalist;7; $60.000,00 
42;Male;Master's;Project Engineer;14; $115.000,00 
26;Female;Bachelor's;Customer Success Rep;1; $40.000,00 
49;Male;Bachelor's;Sales Executive;21; $160.000,00 
34;Female;Master's;UX Designer;5; $80.000,00 
48;Male;Master's;Operations Director;18; $190.000,00 
30;Male;Bachelor's;Network Engineer;3; $60.000,00 
36;Female;Bachelor's;Administrative Assistant;8; $45.000,00 
41;Male;Master's;Strategy Consultant;13; $130.000,00 
28;Female;Bachelor's;Copywriter;2; $40.000,00 
